"x","predicted","std.error","conf.low","conf.high","group","group_col","variable"
-0.922,0.00200395200561844,0.254559101488914,0.00121772219599894,0.00329614064389237,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.917,0.00628035005660577,0.170421283239398,0.00450501447817992,0.008749160848271,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.917,0.00200363739190489,0.253644177095397,0.00121971345979061,0.00328973877581897,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.915,0.00626844695938627,0.170296613356288,0.00449755483062139,0.0087305048381041,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.915,0.00200351156022226,0.25327896179423,0.00122050907305398,0.00328718634475491,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.906,0.00621515984112858,0.169740293012244,0.00446409740658911,0.00864711843824651,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.906,0.00200294541523965,0.251640889929785,0.00122408281961032,0.00327575934640908,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.898,0.00616817155691763,0.169252279185174,0.00443450936086744,0.00857376843578619,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.898,0.00200244230929054,0.250192342482967,0.00122725019852315,0.0032656832094951,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.894,0.00614480997494137,0.169010581374215,0.0044197687192618,0.00853736338578006,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.894,0.00200219080361227,0.249470762083921,0.00122883047746647,0.00326067388800888,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.887,0.00610413860483764,0.168591339625033,0.00439405790485441,0.00847408435048194,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.887,0.00200175074453145,0.248212376597392,0.00123159029723729,0.00325195382479107,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.884,0.00608679002352695,0.168413124847571,0.0043830721292598,0.00844713129318192,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.884,0.00200156217733255,0.247674792452041,0.00123277081122732,0.0032482347135729,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.875,0.00603503776504663,0.167883772757349,0.00435023367800411,0.00836686712852911,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.875,0.00200099658209498,0.246068331971822,0.00123630391110984,0.00323714258890748,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.865,0.00597804806010816,0.167304985993066,0.00431395474553492,0.00827872240095169,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.865,0.00200036833001251,0.244294622792131,0.00124021413499808,0.00322493313982102,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.855,0.00592159331079297,0.166736174631472,0.00427789378064232,0.00819165745008582,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.855,0.00199974027478686,0.242533003506788,0.00124410726713341,0.0032128454776946,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.848,0.00588239062629047,0.166343996913998,0.00425278012656973,0.00813134758235359,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.848,0.0019993007532258,0.241307205357012,0.00124682181631955,0.00320445691779356,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.845,0.00586566855581021,0.166177441107482,0.00424204953504863,0.00810565945800381,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.845,0.00199911241635657,0.240783739471785,0.00124798242125453,0.00320088023992065,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
